,uplink,uplink,downlink,downlink
,max,min,max,min
name,,,,
AGG-MP-01-01,45070.369999999995,31850.93,15714.58,5743.45
AGG-MP-01-02,40429.36,29601.260000000002,9548.349999999999,3638.0299999999997
BDG-MP-01-01,110371.78,81630.92000000001,60016.399999999994,43918.41
BDG-MP-01-02,57209.25,42727.96000000001,59404.29000000001,44502.94
BDH-MP-01-01,8964.02,6739.75,11220.8,8535.73
BDH-MP-01-02,6450.110000000001,0.0,12437.55,9837.909999999998
BDH-MP-01-03,6192.26,3647.36,3334.54,1830.61
BDH-MP-01-04,6003.29,0.0,5567.83,4179.63
BGG-MP-01-01,21809.329999999998,15017.98,23925.550000000003,16210.130000000001
BGG-MP-01-01-NEW,27030.61,0.0,28765.67,0.0
BGG-MP-01-02,29514.2,20330.01,31832.730000000003,22566.030000000002
BGG-MP-01-02-NEW,23585.07,0.0,26729.370000000003,0.0
BLC-MP-01-01,8375.29,6983.4400000000005,11220.09,9079.490000000002
BLC-MP-01-02,13308.630000000001,0.0,9359.39,7517.52
BLU-MP-01-01,0.0,0.0,0.0,0.0
BLU-MP-01-02,0.0,0.0,0.0,0.0
BNH-MP-01-01,20768.19,0.0,20562.42,5810.3
BNH-MP-01-02,25400.09,0.0,25388.760000000002,9231.36
BNH-MP-01-03,20838.95,0.0,20737.98,13461.81
BNH-MP-01-04,24466.07,0.0,24509.4,11603.98
BPC-MP-01-01,4786.57,2665.64,0.0,0.0
BPC-MP-01-02,4480.69,0.0,0.0,0.0
BRA-MP-01-01,11632.53,0.0,10898.529999999999,6579.8
BRA-MP-01-02,11359.68,0.0,11905.21,8149.049999999999
BRA-MP-01-03,14806.5,0.0,13111.86,9841.63
BRA-MP-01-04,14382.14,0.0,15148.5,11524.130000000001
BTE-MP-01-01,6569.02,5441.62,0.0,0.0
BTE-MP-01-02,7853.96,6533.03,0.0,0.0
BTN-MP-01-01,26334.05,20289.35,23630.86,16899.500000000004
BTN-MP-01-02,31432.579999999998,19725.3,25731.93,13851.26
CBG-MP-01-01,3382.99,0.0,3334.7200000000003,1278.03
CBG-MP-01-02,3881.61,0.0,3825.29,1881.2000000000003
CMU-MP-01-01,0.0,0.0,0.0,0.0
CMU-MP-01-02,0.0,0.0,0.0,0.0
CTO-MP-01-01,45638.33000000001,33961.68,4155.7,1403.68
CTO-MP-01-02,40715.86,29679.559999999998,2924.91,1416.87
DAH-MP-01-01,1159.82,0.0,7526.11,5446.0599999999995
DAH-MP-01-02,11372.3,8660.89,13995.98,10711.529999999999
DAH-MP-01-03,12931.29,8434.49,14121.310000000001,9272.19
DAH-MP-01-04,11947.349999999999,8365.76,12596.08,8683.029999999999
DBN-MP-01-01,3858.4700000000003,0.0,4229.4,1969.44
DBN-MP-01-02,4691.73,0.0,4659.27,2515.77
DLK-MP-01-01,8354.71,6894.9,10413.67,8319.869999999999
DLK-MP-01-02,9748.98,7560.52,7841.549999999999,6159.62
DLK-MP-01-03,6754.139999999999,4996.41,8271.42,6101.0599999999995
DLK-MP-01-04,9285.75,7296.59,7977.17,6135.78
DNG-MP-01-01,54813.31,44809.799999999996,39304.280000000006,30443.879999999997
DNG-MP-01-02,45173.08,31339.9,45171.28,29759.81
DNI-MP-01-01,81017.59,33684.28,56903.119999999995,47083.39
DNI-MP-01-02,84578.22,70145.55,69746.47,57276.96
