,Label,Pclass,Sex,Age,SibSp,Parch,Fare
0,0,3,male,34.5,0,0,7.8292
1,0,3,female,47.0,1,0,7.0
2,1,2,male,62.0,0,0,9.6875
3,1,3,male,27.0,0,0,8.6625
4,1,3,female,22.0,1,1,12.2875
5,0,3,male,14.0,0,0,9.225
6,0,3,female,30.0,0,0,7.6292
7,0,2,male,26.0,1,1,29.0
8,1,3,female,18.0,0,0,7.2292
9,0,3,male,21.0,2,0,24.15
10,0,3,male,30.272590361445783,0,0,7.8958
11,0,1,male,46.0,0,0,26.0
12,1,1,female,23.0,1,0,82.2667
13,1,2,male,63.0,1,0,26.0
14,1,1,female,47.0,1,0,61.175
15,1,2,female,24.0,1,0,27.7208
16,0,2,male,35.0,0,0,12.35
17,1,3,male,21.0,0,0,7.225
18,1,3,female,27.0,1,0,7.925
19,0,3,female,45.0,0,0,7.225
20,1,1,male,55.0,1,0,59.4
21,1,3,male,9.0,0,1,3.1708
22,1,1,female,30.272590361445783,0,0,31.6833
23,0,1,male,21.0,0,1,61.3792
24,1,1,female,48.0,1,3,262.375
25,0,3,male,50.0,1,0,14.5
26,1,1,female,22.0,0,1,61.9792
27,1,3,male,22.5,0,0,7.225
28,1,1,male,41.0,0,0,30.5
29,0,3,male,30.272590361445783,2,0,21.6792
30,0,2,male,50.0,1,0,26.0
31,0,2,male,24.0,2,0,31.5
32,1,3,female,33.0,1,2,20.575
33,0,3,female,30.272590361445783,1,2,23.45
34,1,1,male,30.0,1,0,57.75
35,0,3,male,18.5,0,0,7.2292
36,0,3,female,30.272590361445783,0,0,8.05
37,0,3,female,21.0,0,0,8.6625
38,0,3,male,25.0,0,0,9.5
39,1,3,male,30.272590361445783,0,0,56.4958
40,0,3,male,39.0,0,1,13.4167
41,0,1,male,30.272590361445783,0,0,26.55
42,0,3,male,41.0,0,0,7.85
43,1,2,female,30.0,0,0,13.0
44,1,1,female,45.0,1,0,52.5542
45,0,3,male,25.0,0,0,7.925
46,1,1,male,45.0,0,0,29.7
47,0,3,male,30.272590361445783,0,0,7.75
48,1,1,female,60.0,0,0,76.2917
49,0,3,female,36.0,0,2,15.9
50,0,1,male,24.0,1,0,60.0
51,0,2,male,27.0,0,0,15.0333
52,1,2,female,20.0,2,1,23.0
53,0,1,female,28.0,3,2,263.0
54,0,2,male,30.272590361445783,0,0,15.5792
55,0,3,male,10.0,4,1,29.125
